bitrix24_id,bitrix24_name,onec_code,onec_name
"223","Водородная бутылка 380 мл ВТН-101Т","ВОДОРОДНАЯ-БУТЫЛКА-3","Водородная бутылка 380 мл ВТН-101Т"
"225","Маникюрный набор 5 пр. черный "крокодил" RT 82630","RT82630","Маникюрный набор 5 пр. черный крокодил RT 82630"
"227","Маникюрный набор 4 пр. черный "крокодил" RT 85237-01","RT85237","Маникюрный набор 4 пр. черный крокодил RT 85237-01"
"229","Маникюрный набор 5 пр. коричневый, воловья кожа RT 85247-02","RT85247","Маникюрный набор 5 пр. коричневый воловья кожа RT 85247-02"
"231","Маникюрный набор 7 пр. цвет Brawn/Silver RT 82478-2a","RT82478","Маникюрный набор 7 пр. цвет Brawn/Silver RT 82478-2a"
"233","Акция набор Королевский Маникюр NEW крем,карандаш+пилка кутик+масл№карандаш унив запайка+полир 3st RT","АКЦИЯ-НАБОР-КОРОЛЕВС","Акция набор Королевский Маникюр NEW крем,карандаш+пилка кутик+масл№карандаш унив"
"235","Керамический карандаш-пушер с маслами RT,","КЕРАМИЧЕСКИЙ-КАРАНДА","Керамический карандаш-пушер с маслами RT"
"237","Масляный карандаш для ухода за кутикулой RT","МАСЛЯНЫЙ-КАРАНДАШ-ДЛ","Масляный карандаш для ухода за кутикулой RT"
"239","Пилка-Полировка для ногтей Магический блеск 3 step","ПОЛИРОВКА-ДЛЯ-НОГТЕЙ","Полировка для ногтей Магический блеск 3 step"
"243","Пилка для ногтей с эффектом запаивания универсальная, двухсторонняя RT","ПИЛКА-ДЛЯ-НОГТЕЙ","Пилка для ногтей с эффектом запаивания универсальная двухсторонняя RT"
"245","Кусачки/кутикульные  5 мм 36157","36157","Кусачки/кутик 5 мм 36157"
"247","Кусачки ногтевые Nickel 12 см RT 34520","RT34520","Кусачки ногтевые Nickel 12 см RT 34520"
"251","Ножницы ногтевые RT 44847","RT44847","Ножницы ногтевые RT 44847"
"253","Ножницы универсальные RT 44837","RT44837","Ножницы универсальные RT 44837"
"259","Пинцет blue RT 19205","RT19205","Пинцет blue RT 19205"
"261","Пинцет наклонный матовый RT 11108","RT11108","Пинцет наклонный матовый RT 11108"
"263","Тёрка для ног стальная Премиум RT","ТЁРКА-ДЛЯ-НОГ","Тёрка для ног стальная Премиум RT"
"267","Тёрка для ног лазерная Black Diamond RT","ТЁРКА-ДЛЯ-НОГ","Тёрка для ног лазерная Black Diamond RT"
"269","Набор для усов и бороды Barocco Le Gent Set","НАБОР-ДЛЯ-УСОВ","Набор для усов и бороды Barocco Le Gent Set"
"271","Расческа Barocco Royal Pink Gold","РАСЧЕСКА-BAROCCO-ROY","Расческа Barocco Royal Pink Gold"
"279","Экстракт "Golden Reishi"","ЭКСТРАКТ-GOLDEN-REIS","Экстракт Golden Reishi"
"281","X-CODE Premium (10 мл х 30стиков)","X-CODE-PREMIUM-(10","X-CODE Premium (10 мл х 30стиков)"
"283","X-CODE (10 мл х 30 стиков)","X-CODE-(10-МЛ","X-CODE (10 мл х 30 стиков)"
"285","Аргинин желе POWER ARGININE JELLY (22гх15 шт)","АРГИНИН-ЖЕЛЕ-POWER","Аргинин желе POWER ARGININE JELLY (22гх15 шт)"
"289","Экстракт Wonder Jell (15 гр 10 шт)","ЭКСТРАКТ-WONDER-JELL","Экстракт Wonder Jell (15 гр 10 шт)"
"293","Гидролизованный коллаген + гранатовый концентрат Dr. Young (20 гр х 15 шт)","ГИДРОЛИЗОВАННЫЙ-КОЛЛ","Гидролизованный коллаген + гранатовый концентрат Dr. Young (20 гр х 15 шт)"
"295","Гидролизованный коллаген + гранатовый концентрат Dr. Young (20 гр х 30шт)","ГИДРОЛИЗОВАННЫЙ-КОЛЛ","Гидролизованный коллаген + гранатовый концентрат Dr. Young (20 гр х 30шт)"
"297","Коллаген питьевой Dr. Young (20 гр х 28 шт)","КОЛЛАГЕН-ПИТЬЕВОЙ-DR","Коллаген питьевой Dr. Young (20 гр х 28 шт)"
"299","Водородный генератор-подставка ВТН-100Р","ВОДОРОДНЫЙ-ГЕНЕРАТОР","Водородный генератор-подставка ВТН-100Р"
"307","Акция: Фильтр для чайника GS-500 (комплект из 3 частей)","GS-500","Акция: Фильтр для чайника GS-500 (комплект из 3 частей)"
"309","Зубная паста Quorumdent 120 мл","ЗУБНАЯ-ПАСТА-QUORUMD","Зубная паста Quorumdent 120 мл"
"311","Акция:Футляр для маникюрного набора RT, нат. кожа","АКЦИЯ:ФУТЛЯР-ДЛЯ-МАН","Акция:Футляр для маникюрного набора RT, нат. кожа"
"313","Пакет бумажный белый+черный HB","ПАКЕТ-БУМАЖНЫЙ-БЕЛЫЙ","Пакет бумажный белый+черный HB"
"317","Подарочная коробка RT","АКЦИЯ:-ПОДАРОЧНАЯ-КО","Акция: Подарочная коробка RT"
"319","Игрушка Щелкунчик маленький в ассортименте","ИГРУШКА-ЩЕЛКУНЧИК-МА","Игрушка Щелкунчик маленький в ассортименте"
"321","Маникюрный набор 4 пр. коричневый,"воловья кожа" RT 85237-02","RT85237","Маникюрный набор 4 пр. коричневый воловья кожа RT 85237-02"
"325","Зубная щетка","ЗУБНАЯ-ЩЕТКА","Зубная щетка"
"539","БЛОКАТОР КАЛОРИЙ DR.YOUNG ("DR.YOUNG CALORIE BLOCKER")","БЛОКАТОР-КАЛОРИЙ-DR.","БЛОКАТОР КАЛОРИЙ DR. YOUNG"
"633","Royal Tools маникюрный набор DUET","МАНИКЮРНЫЙ-НАБОР-KRO","Маникюрный набор KROKO"
"1221","Royal Tools Масляный карандаш для кутикулы 15 мл","МАСЛЯНЫЙ-КАРАНДАШ-ДЛ","Масляный карандаш для ухода за кутикулой RT"
"1447","Керамический карандаш пушер, с маслами для ухода за кутикулой","КЕРАМИЧЕСКИЙ-КАРАНДА","Керамический карандаш-пушер с маслами RT"
"1651","Ножницы универсальные, нержавеющая сталь","RT44837","Ножницы универсальные RT 44837"
"1655","Маникюрный набор 4 предмета","МАНИКЮРНЫЙ-НАБОР-KRO","Маникюрный набор KROKO"
"1659","Пилка для ногтей с эффектом ЗАПАИВАНИЯ (универсальная) придаёт форму, борется с ломкостью, маникюрная лазерная","ПИЛКА-ДЛЯ-НОГТЕЙ","Пилка для ногтей с эффектом запаивания универсальная двухсторонняя RT"
"1673","ПИНЦЕТ для бровей наклонный матовый","RT11108","Пинцет наклонный матовый RT 11108"
